Rank,Player Name,Position,College
1,Garrett Nussmeier,QB,LSU
2,LaNorris Sellers,QB,South Carolina
3,Rueben Bain,EDGE,Miami (FL)
4,Fernando Mendoza,QB,Indiana
5,Caleb Downs,S,Ohio State
6,Peter Woods,DL,Clemson
7,Spencer Fano,OT,Utah
8,Francis Mauigoa,OT,Miami (FL)
9,Keldric Faulk,EDGE,Auburn
10,Jordyn Tyson,WR,Arizona State
11,T.J. Parker,EDGE,Clemson
12,Kadyn Proctor,OT,Alabama
13,Jermod McCoy,CB,Tennessee
14,Dante Moore,QB,Oregon
15,Jeremiyah Love,RB,Notre Dame
16,Mansoor Delane,CB,LSU
17,Cade Klubnik,QB,Clemson
18,Caleb Lomu,OT,Utah
19,Drew Allar,QB,Penn State
20,Kenyon Sadiq,TE,Oregon
21,Anthony Hill Jr.,LB,Texas
22,John Mateer,QB,Oklahoma
23,Avieon Terrell,CB,Clemson
24,Carnell Tate,WR,Ohio State
25,Caleb Banks,DL,Florida
26,Matayo Uiagalelei,EDGE,Oregon
27,Isaiah World,OT,Oregon
28,Makai Lemon,WR,USC
29,Sonny Styles,LB,Ohio State
30,Denzel Boston,WR,Washington
31,Dani Dennis-Sutton,EDGE,Penn State
32,David Bailey,EDGE,Texas Tech
33,C.J. Allen,LB,Georgia
34,L.T. Overton,EDGE,Alabama
35,Christen Miller,DL,Georgia
36,A.J. Harris,CB,Penn State
37,Arvell Reese,LB,Ohio State
38,Antonio Williams,WR,Clemson
39,Connor Lew,IOL,Auburn
40,Colton Hood,CB,Tennessee
41,Dillon Thieneman,S,Oregon
42,Trevor Goosby,OT,Texas
43,Gennings Dunker,OT,Iowa
44,Kolt Dieterich,OT,Sam Houston State
45,Nick Singleton,RB,Penn State
46,Quincy Rhodes Jr.,EDGE,Arkansas
47,Cashius Howell,EDGE,Texas A&M
48,Suntarine Perkins,LB,Mississippi
49,Nyck Harbor,WR,South Carolina
50,Ja'Kobi Lane,WR,USC
51,Xavier Chaplin,OT,Auburn
52,Keith Abney II,CB,Arizona State
53,Harold Perkins,LB,LSU
54,DJ McKinney,CB,Colorado
55,Zachariah Branch,WR,Georgia
56,Drew Shelton,OT,Penn State
57,Domonique Orange,DL,Iowa State
58,Kamari Ramsey,S,USC
59,Domani Jackson,CB,Alabama
60,Jalon Kilgore,S,South Carolina
61,Kevin Concepcion,WR,Texas A&M
62,R Mason Thomas,EDGE,Oklahoma
63,Chris Bell,WR,Louisville
64,Anthony Lucas,EDGE,USC
65,Will Lee III,CB,Texas A&M
66,Fa'alili Fa'amoe,OT,Wake Forest
67,Malik Muhammad,CB,Texas
68,Genesis Smith,S,Arizona
69,Joshua Josephs,EDGE,Tennessee
70,Zxavian Harris,DL,Mississippi
71,Austin Barber,OT,Florida
72,Max Klare,TE,Ohio State
73,Mateen Ibirogba,DL,Wake Forest
74,Aidan Chiles,QB,Michigan State
75,Kayden McDonald,DL,Ohio State
76,Parker Brailsford,IOL,Alabama
77,Daylen Everette,CB,Georgia
78,Jake Slaughter,IOL,Florida
79,Eric Singleton Jr.,WR,Auburn
80,Carson Beck,QB,Miami (FL)
81,Gabe Jacas,EDGE,Illinois
82,Darrell Jackson Jr.,DL,Florida State
83,Xavier Scott,S,Illinois
84,Dontay Corleone,DL,Cincinnati
85,Olaivavega Ioane,IOL,Penn State
86,Jack Endries,TE,Texas
87,Tyreak Sapp,EDGE,Florida
88,Anto Saka,EDGE,Northwestern
89,Keon Sabb,S,Alabama
90,Duce Robinson,WR,Florida State
91,Whit Weeks,LB,LSU
92,Cayden Green,OT,Missouri
93,Justice Haynes,RB,Michigan
94,Jonah Coleman,RB,Washington
95,Chase Bisontis,IOL,Texas A&M
96,Emmanuel Pregnon,IOL,Oregon
97,Deontae Lawson,LB,Alabama
98,Chandler Rivers,CB,Duke
99,Vincent Anthony Jr.,EDGE,Duke
100,Zane Durant,DL,Penn State
101,Amare Ferrell,S,Indiana
102,Aaron Anderson,WR,LSU
103,Daniel Harris,CB,Georgia
104,Iapani Laloulu,IOL,Oregon
105,Davison Igbinosun,CB,Ohio State
106,Antonio Kite,CB,Mississippi
107,Jaishawn Barham,LB,Michigan
108,Elijah Pritchett,OT,Nebraska
109,Deion Burks,WR,Oklahoma
110,Oscar Delp,TE,Georgia
111,Zion Young,EDGE,Missouri
112,Germie Bernard,WR,Alabama
113,DeMonte Capehart,DL,Clemson
114,Chris Brazzell,WR,Tennessee
115,Jermaine Mathews Jr.,CB,Ohio State
116,Lance Heard,OT,Tennessee
117,Malachi Fields,WR,Notre Dame
118,Elijah Sarratt,WR,Indiana
119,Josh Hoover,QB,TCU
120,Kade Pieper,IOL,Iowa
121,Kaytron Allen,RB,Penn State
122,Eli Stowers,TE,Vanderbilt
123,C.J. Fite,DL,Arizona State
124,Nic Anderson,WR,LSU
125,Robert Henry Jr.,RB,UTSA
126,Caleb Tiernan,OT,Northwestern
127,Michael Taaffe,S,Texas
128,Tacario Davis,CB,Washington
129,Aaron Graves,DL,Iowa
130,Tristan Leigh,OT,Clemson
131,Keylan Rutledge,IOL,Georgia Tech
132,Quintrevion Wisner,RB,Texas
133,Ar'maj Reed-Adams,IOL,Texas A&M
134,Jaeden Roberts,IOL,Alabama
135,Dariel Djabome,LB,Rutgers
136,C.J. Baxter,RB,Texas
137,Jacob Rodriguez,LB,Texas Tech
138,Earl Little Jr.,S,Florida State
139,Lander Barton,LB,Utah
140,Lawson Luckie,TE,Georgia
141,Le'Veon Moss,RB,Texas A&M
142,Josh Cameron,WR,Baylor
143,Sam Leavitt,QB,Arizona State
144,LJ Martin,RB,BYU
145,Marlin Klein,TE,Michigan
146,Jude Bowry,OT,Boston College
147,Febechi Nwaiwu,IOL,Oklahoma
148,Akheem Mesidor,EDGE,Miami (FL)
149,Kadin Lynch,IOL,William & Mary
150,A.J. Haulcy,S,LSU
151,Hezekiah Masses,CB,California
152,Tim Keenan III,DL,Alabama
153,Drew Azzopardi,OT,Washington
154,Trey Zuhn III,OT,Texas A&M
155,Blake Miller,OT,Clemson
156,Darian Mensah,QB,Duke
157,D'angelo Ponds,CB,Indiana
158,Anthony Smith,DL,Minnesota
159,Nico Iamaleava,QB,UCLA
160,Noah Thomas,WR,Georgia
161,Kobe Baynes,IOL,Kansas
162,Jamarion Miller,RB,Alabama
163,Christian Gray,CB,Notre Dame
164,Patrick Payton,EDGE,LSU
165,Max Iheanachor,OT,Arizona State
166,Tao Johnson,S,Utah
167,Derrick Moore,EDGE,Michigan
168,Judge Collier,CB,South Carolina
169,Barika Kpeenu,RB,North Dakota State
170,Zakee Wheatley,S,Penn State
171,Mikail Kamara,EDGE,Indiana
172,Aamil Wagner,OT,Notre Dame
173,Gracen Halton,DL,Oklahoma
174,Makhi Hughes,RB,Oregon
175,Jaydn Ott,RB,Oklahoma
176,Bryce Foster,IOL,Kansas
177,Dalton Brooks,S,Texas A&M
178,Logan Jones,IOL,Iowa
179,Rayshaun Benny,DL,Michigan
180,Xavier Nwankpa,S,Iowa
181,Bryce Lance,WR,North Dakota State
182,Sawyer Robertson,QB,Baylor
183,Taurean York,LB,Texas A&M
184,Boubacar Traore,DL,Notre Dame
185,Jack Velling,TE,Michigan State
186,Joe Royer,TE,Cincinnati
187,Emmanuel McNeil-Warren,S,Toledo
188,Raylen Wilson,LB,Georgia
189,Trey Moore,EDGE,Texas
190,Darius Taylor,RB,Minnesota
191,Jyaire Hill,CB,Michigan
192,Kage Casey,OT,Boise State
193,Chase Roberts,WR,BYU
194,Riley Mahlman,OT,Wisconsin
195,Charles Jagusah,IOL,Notre Dame
196,Kenyatta Jackson,EDGE,Ohio State
197,C.J. Daniels,WR,Miami (FL)
198,John Michael Gyllenborg,TE,Wyoming
199,Austin Romaine,LB,Kansas State
200,Trebor Pena,WR,Penn State
201,Jaheim Oatis,DL,Colorado
202,D.J. Campbell,IOL,Texas
203,Matthew Bailey,S,Illinois
204,Tanner Koziol,TE,Houston
205,Rod Moore,S,Michigan
206,Kyle Louis,LB,Pittsburgh
207,Earnest Greene,OT,Georgia
208,Theo Melin Ohrstrom,TE,Texas A&M
209,Brett Norfleet,TE,Missouri
210,Amare Campbell,LB,Penn State
211,Roman Hemby,RB,Indiana
212,Miller Moss,QB,Louisville
213,Drayk Bowen,LB,Notre Dame
214,Bud Clark,S,TCU
215,Ryan Baer,IOL,Pittsburgh
216,Tanner Arkin,TE,Illinois
217,Max Llewellyn,EDGE,Iowa
218,Fisher Camac,EDGE,Virginia
219,Sheridan Wilson,IOL,Texas Tech
220,Davaughn Patterson,S,Wake Forest
221,Bryson Washington,RB,Baylor
222,Jadarian Price,RB,Notre Dame
223,J.Michael Sturdivant,WR,Florida
224,Kanye Udoh,RB,Arizona State
225,Aiden Fisher,LB,Indiana
226,Keanu Tanuvasa,DL,BYU
227,Michael Harris,LB,Maryland
228,Roy Williams,EDGE,Northern Illinois
229,Caden Barnett,OT,Wyoming
230,Eli Holstein,QB,Pittsburgh
231,Bray Hubbard,S,Alabama
232,Datrell Jones,RB,Boston College
233,Tomas Rimac,IOL,Virginia Tech
234,Chris McClellan,DL,Missouri
235,Cameron Calhoun,CB,Alabama
236,Zeke Berry,S,Michigan
237,Marvin Jones Jr.,EDGE,Oklahoma
238,Michael Trigg,TE,Baylor
239,James Smith,DL,Alabama
240,Jalen Walthall,WR,Incarnate Word
241,Shamar Easter,TE,North Carolina
242,Adonijah Green,DL,Louisville
243,Martel Hight,CB,Vanderbilt
244,Roderick Kearney,OT,Florida
245,Avery Johnson,QB,Kansas State
246,Kelby Collins,DL,Alabama
247,Izavion Miller,OT,Auburn
248,Markis Deal,DL,TCU
249,Jake Golday,LB,Cincinnati
250,Tyreek Chappell,CB,Texas A&M
251,Fernando Carmona,IOL,Arkansas
252,Caden Curry,EDGE,Ohio State
253,Demond Claiborne,RB,Wake Forest
254,R.J. Maryland,TE,SMU
255,Ashton Stamps,CB,LSU
256,KP Price,S,Boston College
257,Omar Aigbedion,IOL,Baylor
258,Benji Gosnell,TE,Virginia Tech
259,Eric Rivers,WR,Georgia Tech
260,Jeremiah Wright,IOL,Auburn
261,Nicolas Radicic,K,Indiana
262,Brett Thorson,P,Georgia
263,Eugene Wilson III,WR,Florida
264,Eric McAlister,WR,TCU
265,Lee Hunter,DL,Texas Tech
266,Cole Rhett,OT,Toledo
267,Barion Brown,WR,LSU
268,Cruce Brookins,S,Pittsburgh
269,Devean Deal,EDGE,TCU
270,Evan Stewart,WR,Oregon
271,Max Tomzcak,WR,Youngstown State
272,Nate Johnson,EDGE,Missouri
273,Caleb Douglas,WR,Texas Tech
274,Damon Wilson Jr.,EDGE,Missouri
275,Bear Alexander,DL,Oregon
276,Josh Thompson,IOL,LSU
277,Cole Wisniewski,S,Texas Tech
278,Knijeah Harris,IOL,Florida
279,Dasan McCullough,EDGE,Nebraska
280,Dane Key,WR,Nebraska
281,Isaiah Nwokobia,S,SMU
282,McKale Boley,IOL,Virginia
283,Braelin Moore,IOL,LSU
284,P.J. Williams,OT,SMU
285,Jaden Greathouse,WR,Notre Dame
286,Calvin Clements,OT,Kansas
287,Greg Johnson,IOL,Minnesota
288,Jackie Marshall,DL,Baylor
289,J.C. Davis,OT,Illinois
290,Jalen Catalon,S,Missouri
291,Thomas Castellanos,QB,Florida State
292,Ben Murawski,IOL,UConn
293,Diego Pounds,OT,Mississippi
294,Monroe Freeling,OT,Georgia
295,Princewill Umanmielen,EDGE,Mississippi
296,BJ Williams,IOL,Pittsburgh
297,Tellek Lockette,IOL,Texas State
298,Kerry Brown,S,Minnesota
299,Thaddeus Dixon,CB,North Carolina
300,Malik Spencer,S,Michigan State
301,Ethan Onianwa,OT,Ohio State
302,Ben Taylor-Whitfield,OT,TCU
303,Jeadyn Lukus,CB,Clemson
304,Dorion Strawn,OT,Texas State
305,Giovanni El-Hadi,IOL,Michigan
306,Hunter Zambrano,IOL,Texas Tech
307,Wade Woodaz,LB,Clemson
308,Albert Regis,DL,Texas A&M
309,Eli Raridon,TE,Notre Dame
310,Jackson Arnold,QB,Auburn
311,Davin Stoffel,TE,Illinois
312,Alex Harkey,OT,Oregon
313,Samuel Omosigho,LB,Oklahoma
