name,team,position,draft_rank,jersey_number
Garrett Nussmeier,lsu,QB,1,
LaNorris Sellers,south carolina,QB,2,
Rueben Bain,miami (fl),EDGE,3,
Fernando Mendoza,indiana,QB,4,
Caleb Downs,ohio state,S,5,
Peter Woods,clemson,DL,6,
Spencer Fano,utah,OT,7,
Francis Mauigoa,miami (fl),OT,8,
Keldric Faulk,auburn,EDGE,9,
Jordyn Tyson,arizona state,WR,10,
T.J. Parker,clemson,EDGE,11,
Kadyn Proctor,alabama,OT,12,
Jermod McCoy,tennessee,CB,13,
Dante Moore,oregon,QB,14,
Jeremiyah Love,notre dame,RB,15,
Mansoor Delane,lsu,CB,16,
Cade Klubnik,clemson,QB,17,
Caleb Lomu,utah,OT,18,
Drew Allar,penn state,QB,19,
Kenyon Sadiq,oregon,TE,20,
Anthony Hill Jr.,texas,LB,21,
John Mateer,oklahoma,QB,22,
Avieon Terrell,clemson,CB,23,
Carnell Tate,ohio state,WR,24,
Caleb Banks,florida,DL,25,
Matayo Uiagalelei,oregon,EDGE,26,
Isaiah World,oregon,OT,27,
Makai Lemon,usc,WR,28,
Sonny Styles,ohio state,LB,29,
Denzel Boston,washington,WR,30,
Dani Dennis-Sutton,penn state,EDGE,31,
David Bailey,texas tech,EDGE,32,
C.J. Allen,georgia,LB,33,
L.T. Overton,alabama,EDGE,34,
Christen Miller,georgia,DL,35,
A.J. Harris,penn state,CB,36,
Arvell Reese,ohio state,LB,37,
Antonio Williams,clemson,WR,38,
Connor Lew,auburn,IOL,39,
Colton Hood,tennessee,CB,40,
Dillon Thieneman,oregon,S,41,
Trevor Goosby,texas,OT,42,
Gennings Dunker,iowa,OT,43,
Kolt Dieterich,sam houston state,OT,44,
Nick Singleton,penn state,RB,45,
Quincy Rhodes Jr.,arkansas,EDGE,46,
Cashius Howell,texas a&m,EDGE,47,
Suntarine Perkins,mississippi,LB,48,
Nyck Harbor,south carolina,WR,49,
Ja'Kobi Lane,usc,WR,50,
Xavier Chaplin,auburn,OT,51,
Keith Abney II,arizona state,CB,52,
Harold Perkins,lsu,LB,53,
DJ McKinney,colorado,CB,54,
Zachariah Branch,georgia,WR,55,
Drew Shelton,penn state,OT,56,
Domonique Orange,iowa state,DL,57,
Kamari Ramsey,usc,S,58,
Domani Jackson,alabama,CB,59,
Jalon Kilgore,south carolina,S,60,
Kevin Concepcion,texas a&m,WR,61,
R Mason Thomas,oklahoma,EDGE,62,
Chris Bell,louisville,WR,63,
Anthony Lucas,usc,EDGE,64,
Will Lee III,texas a&m,CB,65,
Fa'alili Fa'amoe,wake forest,OT,66,
Malik Muhammad,texas,CB,67,
Genesis Smith,arizona,S,68,
Joshua Josephs,tennessee,EDGE,69,
Zxavian Harris,mississippi,DL,70,
Austin Barber,florida,OT,71,
Max Klare,ohio state,TE,72,
Mateen Ibirogba,wake forest,DL,73,
Aidan Chiles,michigan state,QB,74,
Kayden McDonald,ohio state,DL,75,
Parker Brailsford,alabama,IOL,76,
Daylen Everette,georgia,CB,77,
Jake Slaughter,florida,IOL,78,
Eric Singleton Jr.,auburn,WR,79,
Carson Beck,miami (fl),QB,80,
Gabe Jacas,illinois,EDGE,81,
Darrell Jackson Jr.,florida state,DL,82,
Xavier Scott,illinois,S,83,
Dontay Corleone,cincinnati,DL,84,
Olaivavega Ioane,penn state,IOL,85,
Jack Endries,texas,TE,86,
Tyreak Sapp,florida,EDGE,87,
Anto Saka,northwestern,EDGE,88,
Keon Sabb,alabama,S,89,
Duce Robinson,florida state,WR,90,
Whit Weeks,lsu,LB,91,
Cayden Green,missouri,OT,92,
Justice Haynes,michigan,RB,93,
Jonah Coleman,washington,RB,94,
Chase Bisontis,texas a&m,IOL,95,
Emmanuel Pregnon,oregon,IOL,96,
Deontae Lawson,alabama,LB,97,
Chandler Rivers,duke,CB,98,
Vincent Anthony Jr.,duke,EDGE,99,
Zane Durant,penn state,DL,100,
Amare Ferrell,indiana,S,101,
Aaron Anderson,lsu,WR,102,
